Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
204,1740310116907,3228,3228,3228,3228,3228,3228,3228,3228,51.04838180541992,52.06987762451172,54.802528381347656,52.537841796875,53.68714904785156,50.98621368408203,51.27249526977539,53.31487274169922,50.72723388671875,52.43292999267578,100.0,100.0,65.0,47.619049072265625,35.0,26.3157901763916,15.000000953674316,9.523809432983398,16.944313049316406,17179869184,15032385536,13937426432,13569228800
203,1740310117111,3228,3228,3228,3228,3228,3228,3228,3228,51.04838180541992,52.06987762451172,54.802528381347656,52.537841796875,53.68714904785156,50.98621368408203,51.27249526977539,53.31487274169922,50.72723388671875,52.43292999267578,100.0,100.0,61.904762268066406,45.0,30.000001907348633,19.047618865966797,9.523809432983398,4.761904716491699,16.944313049316406,17179869184,15032385536,13868531712,13544062976
202,1740310117316,3228,3228,3228,3228,3228,3228,3228,3228,51.04838180541992,52.06987762451172,54.802528381347656,52.537841796875,53.68714904785156,50.98621368408203,51.27249526977539,53.31487274169922,50.72723388671875,52.43292999267578,100.0,100.0,21.052631378173828,38.095237731933594,14.285715103149414,0.0,0.0,0.0,16.944313049316406,17179869184,15032385536,13868908544,13544062976
204,1740310117518,3228,3228,3228,3228,3228,3228,3228,3228,50.77641296386719,51.47249984741211,54.31593322753906,52.24615859985352,53.22845458984375,50.752174377441406,50.3256721496582,52.98616027832031,50.23725509643555,51.82209014892578,100.0,100.0,42.85714340209961,30.000001907348633,20.0,14.285715103149414,0.0,5.0,16.944313049316406,17179869184,15032385536,13865238528,13535674368
204,1740310117723,3228,3228,3228,3228,3228,3228,3228,3228,50.77641296386719,51.47249984741211,54.31593322753906,52.24615859985352,53.22845458984375,50.752174377441406,50.3256721496582,52.98616027832031,50.23725509643555,51.82209014892578,100.0,100.0,42.105262756347656,36.84210586547851,28.571430206298828,14.285715103149414,4.761904716491699,0.0,16.944313049316406,17179869184,15032385536,13869187072,13535674368
203,1740310117928,3228,3228,3228,3228,3228,3228,3228,3228,50.77641296386719,51.47249984741211,54.31593322753906,52.24615859985352,53.22845458984375,50.752174377441406,50.3256721496582,52.98616027832031,50.23725509643555,51.82209014892578,100.0,95.23809814453124,33.333335876464844,23.809524536132812,30.000001907348633,10.0,0.0,0.0,10.405976295471191,17179869184,15032385536,13836812288,13535674368
200,1740310118133,3228,3228,3228,3228,3228,3228,3228,3228,50.77641296386719,51.47249984741211,54.31593322753906,52.24615859985352,53.22845458984375,50.752174377441406,50.3256721496582,52.98616027832031,50.23725509643555,51.82209014892578,100.0,100.0,45.0,28.571430206298828,5.0,10.0,4.761904716491699,4.761904716491699,10.405976295471191,17179869184,15032385536,13838974976,13535674368
200,1740310118333,3228,3228,3228,3228,3228,3228,3228,3228,50.77641296386719,51.47249984741211,54.31593322753906,52.24615859985352,53.22845458984375,50.752174377441406,50.3256721496582,52.98616027832031,50.23725509643555,51.82209014892578,90.0,89.47368621826172,47.619049072265625,42.105262756347656,20.0,23.809524536132812,10.526315689086914,5.0,10.405976295471191,17179869184,15032385536,13831831552,13527285760
201,1740310118534,3228,3228,3228,3228,3228,3228,3228,3228,50.88660430908203,51.370018005371094,54.37581634521485,52.03984451293945,53.395355224609375,50.487693786621094,50.20112609863281,52.7441520690918,50.3064079284668,51.94793701171875,95.23809814453124,100.0,20.0,19.047618865966797,10.0,0.0,0.0,0.0,10.405976295471191,17179869184,15032385536,13841809408,13527285760
204,1740310118736,3228,3228,3228,3228,3228,3228,3228,3228,50.88660430908203,51.370018005371094,54.37581634521485,52.03984451293945,53.395355224609375,50.487693786621094,50.20112609863281,52.7441520690918,50.3064079284668,51.94793701171875,100.0,100.0,31.57894515991211,15.789472579956056,15.000000953674316,14.285715103149414,4.761904716491699,0.0,10.405976295471191,17179869184,15032385536,13829996544,13518897152
